Epoch 078, Time taken 86.71, Training-Loss 5.29034, Validation-Loss 67.03067
Epoch 079, Time taken 86.47, Training-Loss 4.98794, Validation-Loss 67.15678
Epoch 080, Time taken 86.58, Training-Loss 4.88058, Validation-Loss 67.40234
Epoch 081, Time taken 86.84, Training-Loss 4.77103, Validation-Loss 67.54854
Epoch 082, Time taken 87.07, Training-Loss 4.60311, Validation-Loss 67.73198
Epoch 083, Time taken 86.49, Training-Loss 4.51289, Validation-Loss 67.47849
Epoch 084, Time taken 86.60, Training-Loss 4.37765, Validation-Loss 67.45699
Epoch 085, Time taken 86.58, Training-Loss 4.26945, Validation-Loss 67.90266
Epoch 086, Time taken 86.97, Training-Loss 4.07866, Validation-Loss 67.71489
Epoch 087, Time taken 86.41, Training-Loss 3.88466, Validation-Loss 67.72490
Epoch 088, Time taken 87.01, Training-Loss 3.95786, Validation-Loss 67.75250
Epoch 089, Time taken 88.42, Training-Loss 3.73950, Validation-Loss 67.98798
Epoch 090, Time taken 88.68, Training-Loss 3.58895, Validation-Loss 68.97533
Epoch 091, Time taken 86.63, Training-Loss 3.46240, Validation-Loss 67.92046
Epoch 092, Time taken 86.63, Training-Loss 3.48825, Validation-Loss 68.71613
Epoch 093, Time taken 87.06, Training-Loss 3.22269, Validation-Loss 68.46545
Epoch 094, Time taken 86.65, Training-Loss 3.16134, Validation-Loss 68.64571
Epoch 095, Time taken 86.64, Training-Loss 3.00927, Validation-Loss 68.46832
Epoch 096, Time taken 86.68, Training-Loss 3.04717, Validation-Loss 68.98506
Epoch 097, Time taken 86.87, Training-Loss 2.87182, Validation-Loss 69.08327
Epoch 098, Time taken 86.94, Training-Loss 2.80724, Validation-Loss 69.12706
Epoch 099, Time taken 86.85, Training-Loss 2.67393, Validation-Loss 69.08031
